,time,p,u,v
232,-5.211907817054486,0.0,-0.0,-0.0
233,-5.209907817054487,0.0,-0.0,-0.0
234,-5.207907817054488,0.0,-0.0,-0.0
235,-5.205907817054486,0.0,-0.0,-0.0
236,-5.2039078170544855,0.0,-0.0,-0.0
237,-5.2019078170544875,0.0,-0.0,-0.0
238,-5.199907817054486,0.0,-0.0,-0.0
239,-5.197907817054485,0.0,-0.0,-0.0
240,-5.195907817054486,0.0,-0.0,-0.0
241,-5.193907817054487,0.0,-0.0,-0.0
242,-5.191907817054488,0.0,-0.0,-0.0
243,-5.189907817054486,0.0,-0.0,-0.0
244,-5.187907817054485,0.0,-0.0,-0.0
245,-5.1859078170544874,0.0,-0.0,-0.0
246,-5.183907817054486,0.0,-0.0,-0.0
247,-5.181907817054485,0.0,-0.0,-0.0
248,-5.179907817054486,0.0,-0.0,-0.0
249,-5.1779078170544866,0.0,-0.0,-0.0
250,-5.175907817054488,0.0,-0.0,-0.0
251,-5.173907817054486,0.0,-0.0,-0.0
252,-5.171907817054485,0.0,-0.0,-0.0
253,-5.169907817054487,0.0,-0.0,-0.0
254,-5.167907817054486,0.0,-0.0,-0.0
255,-5.165907817054485,0.0,-0.0,-0.0
256,-5.163907817054486,0.0,-0.0,-0.0
257,-5.1619078170544865,0.0,-0.0,-0.0
258,-5.159907817054488,0.0,-0.0,-0.0
259,-5.157907817054486,0.0,-0.0,-0.0
260,-5.155907817054485,0.0,-0.0,-0.0
261,-5.153907817054487,0.0,-0.0,-0.0
262,-5.151907817054486,0.0,-0.0,-0.0
263,-5.149907817054485,0.0,-0.0,-0.0
264,-5.147907817054486,0.0,-0.0,-0.0
265,-5.1459078170544865,0.0,-0.0,-0.0
266,-5.143907817054488,0.0,-0.0,-0.0
267,-5.141907817054486,0.0,-0.0,-0.0
268,-5.139907817054485,0.0,-0.0,-0.0
269,-5.137907817054487,0.0,-0.0,-0.0
270,-5.135907817054486,0.0,-0.0,-0.0
271,-5.133907817054485,0.0,-0.0,-0.0
272,-5.131907817054486,0.0,-0.0,-0.0
273,-5.1299078170544865,0.0,-0.0,-0.0
274,-5.127907817054488,0.0,-0.0,-0.0
275,-5.125907817054486,0.0,-0.0,-0.0
276,-5.123907817054485,0.0,-0.0,-0.0
277,-5.121907817054487,0.0,-0.0,-0.0
278,-5.119907817054486,0.0,-0.0,-0.0
279,-5.117907817054488,0.0,-0.0,-0.0
280,-5.115907817054486,0.0,-0.0,-0.0
281,-5.1139078170544865,0.0,-0.0,-0.0
282,-5.111907817054488,0.0,-0.0,-0.0
283,-5.109907817054486,0.0,-0.0,-0.0
284,-5.107907817054485,0.0,-0.0,-0.0
285,-5.105907817054487,0.0,-0.0,-0.0
286,-5.103907817054487,0.0,-0.0,-0.0
287,-5.101907817054485,0.0,-0.0,-0.0
288,-5.099907817054486,0.0,-0.0,-0.0
289,-5.0979078170544865,0.0,-0.0,-0.0
290,-5.095907817054488,0.0,-0.0,-0.0
291,-5.093907817054486,0.0,-0.0,-0.0
292,-5.091907817054485,0.0,-0.0,-0.0
293,-5.089907817054487,0.0,-0.0,-0.0
294,-5.087907817054487,0.0,-0.0,-0.0
295,-5.085907817054488,0.0,-0.0,-0.0
296,-5.083907817054486,0.0,-0.0,-0.0
297,-5.0819078170544865,0.0,-0.0,-0.0
298,-5.079907817054488,0.0,-0.0,-0.0
299,-5.077907817054486,0.0,-0.0,-0.0
300,-5.075907817054485,0.0,-0.0,-0.0
301,-5.073907817054487,0.0,-0.0,-0.0
302,-5.071907817054487,0.0,-0.0,-0.0
303,-5.069907817054488,0.0,-0.0,-0.0
304,-5.067907817054486,0.0,-0.0,-0.0
